permit,city,state,zip,district,date_issued,lat,lng
400.0,Nashville,TN,37221,22.0,02/06/2015,36.039367,-86.91529
443.0,Nashville,TN,37215,25.0,06/02/2015,36.101316,-86.81295899999998
311.0,Nashville,TN,37216,7.0,01/30/2015,36.216134,-86.706204
480.0,Nashville,TN,37206,5.0,09/10/2015,36.19095,-86.759624
49.0,Nashville,TN,37027,34.0,12/10/2014,35.99245,-86.783709
167.0,Nashville,TN,37211,26.0,05/18/2012,36.089132,-86.749578
416.0,Nashville,TN,37211,26.0,04/08/2015,36.024132,-86.694578
364.0,Nashville,TN,37206,6.0,01/09/2015,36.16595,-86.734624
489.0,Nashville,TN,37115,9.0,11/12/2015,36.262567,-86.709171
419.0,Nashville,TN,37206,6.0,04/16/2015,36.14595,-86.779624
485.0,Nashville,TN,37215,34.0,09/30/2015,36.091316,-86.78295899999998
309.0,Nashville,TN,37212,18.0,11/30/2015,36.088256,-86.82145600000003
477.0,Nashville,TN,37205,23.0,09/08/2015,36.132469,-86.832263
185.0,Nashville,TN,37216,8.0,02/13/2014,36.231134,-86.736204
448.0,Nashville,TN,37216,7.0,11/30/2015,36.226134,-86.71120400000002
244.0,Nashville,TN,37215,34.0,11/10/2015,36.056316,-86.837959
110.0,Nashville,TN,37216,7.0,12/29/2014,36.226134,-86.69620400000002
31.0,Nashville,TN,37206,6.0,04/06/2015,36.17095,-86.779624
232.0,Nashville,TN,37204,25.0,02/27/2015,36.119305,-86.821748
149.0,Nashville,TN,37205,24.0,11/13/2014,36.157469,-86.83726300000002
208.0,Nashville,TN,37115,9.0,02/28/2012,36.297567,-86.73417099999998
222.0,Nashville,TN,37214,14.0,01/13/2015,36.163995,-86.62723100000002
206.0,Nashville,TN,37027,34.0,03/17/2015,36.00245,-86.783709
152.0,Nashville,TN,37216,8.0,05/04/2012,36.17613400000001,-86.68120400000002
426.0,Nashville,TN,37206,6.0,04/28/2015,36.15095,-86.699624
252.0,Nashville,TN,37216,7.0,01/07/2015,36.216134,-86.691204
41.0,Nashville,TN,37215,25.0,12/04/2015,36.046316,-86.802959
168.0,Nashville,TN,37204,16.0,12/03/2014,36.104305,-86.776748
345.0,Nashville,TN,37216,,10/01/2014,36.17613400000001,-86.751204
223.0,Nashville,TN,37206,6.0,07/05/2012,36.20095,-86.769624
317.0,Nashville,TN,37216,8.0,12/08/2014,36.241134,-86.761204
333.0,Nashville,TN,37212,18.0,12/10/2014,36.148256,-86.82145600000003
260.0,Nashville,TN,37215,34.0,12/10/2014,36.106316,-86.787959
344.0,Nashville,TN,37207,6.0,10/01/2014,36.184945,-86.775061
415.0,Nashville,TN,37138,11.0,04/08/2015,36.194455,-86.606783
431.0,Nashville,TN,37205,23.0,05/01/2015,36.067469,-86.887263
452.0,Nashville,TN,37013,33.0,06/16/2015,36.024335,-86.606832
229.0,Nashville,TN,37212,18.0,01/07/2015,36.153256,-86.796456
422.0,Nashville,TN,37206,6.0,12/01/2015,36.17095,-86.699624
245.0,Nashville,TN,37206,6.0,12/10/2014,36.15595,-86.759624
284.0,Nashville,TN,37216,8.0,12/30/2014,36.226134,-86.756204
467.0,Nashville,TN,37016,14.0,07/22/2015,35.97804199999999,-86.104461
413.0,Nashville,TN,37216,8.0,04/06/2015,36.241134,-86.766204
465.0,Nashville,TN,37216,7.0,07/13/2015,36.211134,-86.701204
34.0,Nashville,TN,37221,35.0,09/26/2012,36.084367,-86.91529
191.0,Nashville,TN,37216,5.0,04/03/2013,36.181134,-86.71120400000002
188.0,Nashville,TN,37211,23.0,12/29/2014,36.079132,-86.689578
290.0,Nashville,TN,37209,22.0,12/04/2015,36.129599,-86.844487
335.0,Nashville,TN,37210,16.0,11/30/2015,36.160869,-86.763847
450.0,Nashville,TN,37211,26.0,12/01/2015,36.039132,-86.75457800000002
469.0,Nashville,TN,37203,6.0,12/01/2015,36.190195,-86.820206
336.0,Nashville,TN,37116,7.0,03/24/2015,36.2861,-86.718898
253.0,Nashville,TN,37217,29.0,12/03/2014,36.101646,-86.657608
449.0,Nashville,TN,37209,24.0,06/12/2015,36.114599,-86.884487
432.0,Nashville,TN,37216,7.0,05/05/2015,36.226134,-86.74120400000002
322.0,Nashville,TN,37211,27.0,01/07/2015,36.054132,-86.72457800000002
272.0,Nashville,TN,37013,28.0,03/17/2014,36.039335,-86.656832
474.0,Nashville,TN,37210,16.0,08/21/2015,36.170869,-86.768847
239.0,Nashville,TN,37027,4.0,11/18/2014,36.01245,-86.743709
112.0,Nashville,TN,37138,11.0,01/13/2015,36.224455,-86.631783
338.0,Nashville,TN,37211,35.0,11/20/2014,36.044132,-86.679578
113.0,Nashville,TN,37211,27.0,04/05/2012,36.109132,-86.744578
457.0,Nashville,TN,37214,14.0,06/25/2015,36.188995,-86.65723100000002
266.0,Nashville,TN,37207,5.0,12/29/2014,36.224945,-86.820061
165.0,Nashville,TN,37214,14.0,11/30/2015,36.148995,-86.65723100000002
483.0,Nashville,TN,37215,7.0,09/11/2015,36.121316,-86.837959
284.0,Nashville,TN,37205,23.0,11/20/2014,36.142469,-86.822263
440.0,Nashville,TN,37211,26.0,05/29/2015,36.074132,-86.764578
268.0,Nashville,TN,37205,24.0,11/19/2015,36.082469,-86.872263
235.0,Nashville,TN,37204,17.0,12/10/2014,36.124305,-86.746748
172.0,Nashville,TN,37206,7.0,01/26/2015,36.14095,-86.759624
258.0,Nashville,TN,37217,29.0,11/14/2014,36.131646,-86.672608
306.0,Nashville,TN,37205,23.0,01/06/2015,36.077469,-86.892263
409.0,Nashville,TN,37206,5.0,12/01/2015,36.17595,-86.784624
310.0,Nashville,TN,37215,25.0,11/20/2014,36.126316,-86.862959
85.0,Nashville,TN,37214,13.0,01/20/2015,36.123995,-86.70723100000002
231.0,Nashville,TN,37138,,01/29/2015,36.229455,-86.586783
255.0,Nashville,TN,37212,18.0,12/01/2014,36.158256,-86.80645600000003
454.0,Nashville,TN,37215,24.0,06/19/2015,36.126316,-86.787959
460.0,Nashville,TN,37206,7.0,06/30/2015,36.18595,-86.769624
311.0,Nashville,TN,37214,15.0,03/12/2013,36.188995,-86.67223100000002
254.0,Nashville,TN,37076,12.0,11/20/2014,36.135185,-86.6333
414.0,Nashville,TN,37212,18.0,04/07/2015,36.123256,-86.80645600000003
280.0,Nashville,TN,37214,15.0,12/03/2014,36.148995,-86.64223100000002
207.0,Nashville,TN,37211,17.0,05/20/2013,36.084132,-86.70957800000002
482.0,Nashville,TN,37215,25.0,11/30/2015,36.101316,-86.817959
252.0,Nashville,TN,37209,20.0,11/30/2015,36.144599,-86.884487
91.0,Nashville,TN,37209,24.0,12/10/2014,36.184599,-86.854487
181.0,Nashville,TN,37072,10.0,02/21/2012,36.395389,-86.746255
204.0,Nashville,TN,37205,7.0,03/12/2015,36.137469,-86.892263
492.0,Nashville,TN,37215,24.0,12/01/2015,36.076316,-86.857959
479.0,Nashville,TN,37210,16.0,09/10/2015,36.125869,-86.778847
404.0,Nashville,TN,37211,26.0,02/27/2015,36.059132,-86.764578
263.0,Nashville,TN,37216,7.0,02/21/2012,36.186134,-86.691204
436.0,Nashville,TN,37076,7.0,05/20/2015,36.220185,-86.5933
75.0,Nashville,TN,37215,34.0,10/23/2012,36.126316,-86.832959
277.0,Nashville,TN,37211,16.0,03/24/2014,36.094132,-86.714578
328.0,Nashville,TN,37206,6.0,12/01/2014,36.17095,-86.784624
282.0,Nashville,TN,37208,21.0,12/12/2014,36.15142700000001,-86.770176
241.0,Nashville,TN,37212,18.0,09/06/2012,36.098256,-86.76145600000002
,Nashville,TN,37080,1.0,06/22/2012,36.341509,-86.935843
192.0,Nashville,TN,37205,23.0,10/24/2014,36.117469,-86.852263
275.0,Nashville,TN,37206,7.0,03/21/2014,36.19095,-86.709624
264.0,Nashville,TN,37211,26.0,03/06/2014,36.044132,-86.764578
324.0,Nashville,TN,37214,13.0,12/16/2014,36.123995,-86.692231
471.0,Nashville,TN,37205,23.0,08/11/2015,36.157469,-86.852263
410.0,Nashville,TN,37218,1.0,03/24/2015,36.250699,-86.891798
218.0,Nashville,TN,37215,34.0,12/01/2014,36.086316,-86.807959
459.0,Nashville,TN,37217,16.0,06/26/2015,36.066646,-86.672608
225.0,Nashville,TN,37214,13.0,11/26/2014,36.183995,-86.682231
421.0,Nashville,TN,37211,27.0,04/21/2015,36.089132,-86.729578
491.0,Nashville,TN,37205,26.0,12/01/2015,36.127469,-86.827263
217.0,Nashville,TN,37218,2.0,11/19/2015,36.205699,-86.821798
276.0,Nashville,TN,37207,8.0,03/24/2014,36.194945,-86.770061
66.0,Nashville,TN,37207,8.0,11/26/2014,36.234945,-86.73006099999998
314.0,Nashville,TN,37205,23.0,11/25/2015,36.107469,-86.827263
273.0,Nashville,TN,37212,7.0,01/06/2015,36.128256,-86.80645600000003
348.0,Nashville,TN,37215,25.0,01/21/2015,36.081316,-86.792959
337.0,Nashville,TN,37204,17.0,08/18/2014,36.079305,-86.786748
199.0,Nashville,TN,37205,23.0,11/19/2015,36.092469,-86.83726300000002
323.0,Nashville,TN,37115,10.0,11/18/2015,36.247567,-86.664171
318.0,Nashville,TN,37221,35.0,12/03/2014,36.044367,-87.00529
184.0,Nashville,TN,37216,7.0,06/27/2012,36.256134,-86.771204
,Nashville,TN,37205,23.0,12/01/2014,36.132469,-86.847263
418.0,Nashville,TN,37209,29.0,04/16/2015,36.174599,-86.909487
330.0,Nashville,TN,37205,24.0,01/06/2015,36.137469,-86.827263
222.0,Nashville,TN,37208,21.0,12/10/2014,36.191427,-86.805176
4.0,Nashville,TN,37211,16.0,01/26/2015,36.034132,-86.729578
210.0,Nashville,TN,37205,23.0,12/01/2015,36.102469,-86.897263
285.0,Nashville,TN,37215,34.0,06/06/2012,36.056316,-86.872959
458.0,Nashville,TN,37214,15.0,06/25/2015,36.143995,-86.622231
484.0,Nashville,TN,37013,33.0,09/18/2015,36.054335,-86.64683199999997
